week_ending,market_year,commodity_code,commodity_name,country_code,country_name,weekly_exports,outstanding_sales,gross_new_sales,current_my_net_sales,current_my_total_commitment,unit
2019-01-03T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,37,642,412,408,679,1
2019-01-03T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,850,28680,11072,10875,29530,1
2019-01-10T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,642,0,0,679,1
2019-01-10T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,0,28680,0,0,29530,1
2019-01-17T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,642,0,0,679,1
2019-01-17T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,0,28680,0,0,29530,1
2019-01-24T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,642,0,0,679,1
2019-01-24T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,0,28680,0,0,29530,1
2019-01-31T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,642,0,0,679,1
2019-01-31T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,0,28680,0,0,29530,1
2019-02-07T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,642,0,0,679,1
2019-02-07T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,0,28680,0,0,29530,1
2019-02-14T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,609,707,736,674,1353,1
2019-02-14T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,18415,32366,25760,22101,51631,1
2019-02-21T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,90,1046,432,429,1782,1
2019-02-21T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4348,34267,6575,6249,57880,1
2019-02-28T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,83,1127,164,164,1946,1
2019-02-28T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4010,41292,11306,11035,68915,1
2019-03-07T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,72,1076,28,21,1967,1
2019-03-07T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3739,39247,2061,1694,70609,1
2019-03-14T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,64,1139,130,127,2094,1
2019-03-14T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4138,39113,4231,4004,74613,1
2019-03-21T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,33,1071,5,-35,2059,1
2019-03-21T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4263,37012,2662,2162,76775,1
2019-03-28T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,146,1044,123,119,2178,1
2019-03-28T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4243,41623,9178,8854,85629,1
2019-04-04T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,138,861,3,-45,2133,1
2019-04-04T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4121,39675,2636,2173,87802,1
2019-04-11T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,1029,182,168,2301,1
2019-04-11T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4902,45691,11244,10918,98720,1
2019-04-18T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,135,996,117,102,2403,1
2019-04-18T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,2831,46283,3574,3423,102143,1
2019-04-25T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,73,992,83,69,2472,1
2019-04-25T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3172,43794,900,683,102826,1
2019-05-02T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,89,973,94,70,2542,1
2019-05-02T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,8152,47403,12865,11761,114587,1
2019-05-09T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,120,852,15,-1,2541,1
2019-05-09T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5258,47473,5737,5328,119915,1
2019-05-16T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,190,832,176,170,2711,1
2019-05-16T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4958,51605,9514,9090,129005,1
2019-05-23T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,903,71,71,2782,1
2019-05-23T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3708,51214,3696,3317,132322,1
2019-05-30T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,106,975,184,178,2960,1
2019-05-30T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5753,52398,7418,6937,139259,1
2019-06-06T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,113,1082,224,220,3180,1
2019-06-06T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4593,48409,1149,604,139863,1
2019-06-13T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,171,1223,323,312,3492,1
2019-06-13T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5322,47263,4660,4176,144039,1
2019-06-20T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,86,1297,190,160,3652,1
2019-06-20T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4820,45444,4021,3001,147040,1
2019-06-27T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,124,1141,29,-32,3620,1
2019-06-27T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,6386,45216,6934,6158,153198,1
2019-07-04T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,188,992,50,39,3659,1
2019-07-04T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4590,47248,7147,6622,159820,1
2019-07-11T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,167,1092,273,267,3926,1
2019-07-11T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4915,45948,4248,3615,163435,1
2019-07-18T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,148,1124,187,180,4106,1
2019-07-18T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5407,45572,5490,5031,168466,1
2019-07-25T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,198,1022,110,96,4202,1
2019-07-25T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3753,43195,1887,1376,169842,1
2019-08-01T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,94,1583,660,655,4857,1
2019-08-01T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5562,39987,2934,2354,172196,1
2019-08-08T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,202,1535,169,154,5011,1
2019-08-08T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4440,36838,1723,1291,173487,1
2019-08-15T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,192,1546,217,203,5214,1
2019-08-15T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4053,38209,5813,5424,178911,1
2019-08-22T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,257,1438,196,149,5363,1
2019-08-22T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,2799,37876,2956,2466,181377,1
2019-08-29T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,333,1311,216,206,5569,1
2019-08-29T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4038,38017,4704,4179,185556,1
2019-09-05T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,273,1093,64,55,5624,1
2019-09-05T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4570,34419,1431,972,186528,1
2019-09-12T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,514,1055,506,476,6100,1
2019-09-12T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4328,34059,4346,3968,190496,1
2019-09-19T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,170,1006,150,121,6221,1
2019-09-19T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4200,35133,5963,5274,195770,1
2019-09-26T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,182,888,71,64,6285,1
2019-09-26T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4369,34431,4031,3667,199437,1
2019-10-03T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,278,1145,540,535,6820,1
2019-10-03T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3683,34979,4655,4231,203668,1
2019-10-10T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,221,1431,545,507,7327,1
2019-10-10T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3800,34876,4308,3697,207365,1
2019-10-17T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,146,1263,21,-22,7305,1
2019-10-17T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4509,34970,5040,4603,211968,1
2019-10-24T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,131,1424,329,292,7597,1
2019-10-24T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4082,35131,4903,4243,216211,1
2019-10-31T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,244,1176,119,-4,7593,1
2019-10-31T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4075,32442,1885,1386,217597,1
