std_date,구분,부위별_갈비_합계,부위별_등심_합계,부위별_목심_합계,부위별_사태_합계,부위별_설도_합계,부위별_안심_합계,부위별_앞다리_합계,부위별_양지_합계,부위별_우둔_합계,부위별_채끝_합계,부위별_기타_합계,부위별_계_합계
2026-01,미국,6421,54,1288,8,4,2,1099,3827,0,3,0,12706
2026-01,호주,3504,1824,720,509,1166,24,2326,2365,1708,44,2040,16230
2025-12,미국,8226,116,1742,112,112,23,406,3059,0,7,0,13803
2025-12,호주,3599,2484,990,479,1404,9,2769,2628,1648,51,2003,18064
2025-11,미국,5977,87,105,147,88,0,115,2428,0,0,0,8947
2025-11,호주,2935,1486,981,604,1168,41,1616,2125,1162,1,1799,13918
2025-10,미국,6048,72,121,165,0,23,92,2688,0,1,0,9210
2025-10,호주,2920,1764,941,764,1044,26,1770,2457,1634,35,2189,15544
2025-09,미국,6406,202,935,108,1,0,292,2027,0,1,0,9972
2025-09,호주,3605,2055,818,819,1292,79,1926,2719,1962,135,3438,18848
2025-08,미국,6106,211,568,127,5,2,256,2709,0,0,0,9984
2025-08,호주,3395,1562,913,808,1677,27,2210,2299,1637,100,3704,18332
2025-07,미국,8832,652,732,148,0,23,786,4606,1,8,0,15788
2025-07,호주,3559,1562,797,748,1512,9,2546,2870,1647,166,2424,17840
2025-06,미국,7320,280,1161,82,22,12,844,4539,0,4,0,14264
2025-06,호주,3003,1322,385,337,924,11,1851,2296,1235,42,2446,13852
2025-05,미국,9287,519,2028,87,575,29,1600,6606,11,0,0,20742
2025-05,호주,3785,2044,938,455,1222,11,2567,3367,1658,11,2726,18784
2025-04,미국,7750,713,476,33,80,8,849,3843,0,21,0,13773
2025-04,호주,2979,1708,476,236,1195,2,2560,2937,1220,6,2876,16195
2025-03,미국,7134,105,56,17,0,42,843,3832,0,11,0,12040
2025-03,호주,2167,1338,440,152,783,20,1759,2183,837,24,1562,11265
2025-02,미국,6991,47,587,74,2,43,1622,4174,0,1,0,13541
2025-02,호주,2506,1599,456,267,747,5,1655,2460,552,25,1245,11517
2025-01,미국,6043,23,246,42,26,25,1231,4147,0,12,0,11795
2025-01,호주,2847,1611,551,212,844,3,1966,2332,748,4,1689,12807
2024-12,미국,7057,62,41,89,11,28,1436,4500,0,9,0,13233
2024-12,호주,2751,2296,413,400,1469,16,2589,2951,937,27,1814,15663
2024-11,미국,7730,387,76,51,0,42,885,5288,0,2,0,14461
2024-11,호주,3051,2225,744,225,852,19,3030,3176,951,10,2124,16407
2024-10,미국,7910,276,437,118,26,1,625,4824,23,1,0,14241
2024-10,호주,3253,2415,1037,232,989,23,3131,2928,1206,38,2059,17311
2024-09,미국,4581,377,970,117,48,22,684,1970,24,11,8,8812
2024-09,호주,2566,1979,611,251,915,17,1648,2219,1297,21,1628,13152
2024-08,미국,7348,137,890,13,111,0,488,2029,24,2,0,11042
2024-08,호주,3194,2168,596,488,1212,6,1786,2052,1680,61,2271,15514
2024-07,미국,6383,266,1081,96,133,18,983,2405,99,1,0,11465
2024-07,호주,2724,2145,531,305,1246,25,1678,1617,1803,156,1954,14184
2024-06,미국,5964,939,1208,130,22,16,637,2598,353,22,0,11889
2024-06,호주,3129,2560,574,289,749,14,1820,1805,1636,119,2252,14947
2024-05,미국,6789,431,1208,78,62,10,1060,3695,88,1,0,13422
2024-05,호주,2210,2082,305,259,498,14,1486,1157,1075,134,1716,10936
2024-04,미국,7079,47,1287,52,0,36,1411,3314,0,2,0,13228
2024-04,호주,2945,2374,561,297,634,1,1587,1923,1129,113,1679,13243
2024-03,미국,7454,204,795,218,2,1,1440,3532,0,31,0,13677
2024-03,호주,2698,1963,456,315,571,16,1362,1660,825,103,1676,11645
2024-02,미국,5347,307,676,127,222,2,1156,2687,10,5,0,10539
2024-02,호주,1822,1147,407,216,511,42,1050,1223,710,96,1297,8521
2024-01,미국,6605,551,853,130,45,23,925,4556,5,1,0,13694
2024-01,호주,2963,2756,741,481,926,26,1892,2360,1126,116,1577,14964
2023-12,미국,6416,239,423,132,23,1,714,3756,0,12,0,11716
2023-12,호주,2351,2067,434,454,732,28,1475,2031,1357,164,1362,12455
2023-11,미국,6111,175,880,103,1,0,866,2475,2,2,0,10615
2023-11,호주,2637,2684,657,500,968,60,1626,2482,1160,77,1458,14309
2023-10,미국,6203,262,1297,213,1,14,374,2226,23,1,0,10614
2023-10,호주,2914,3085,903,437,1084,53,1567,2883,1363,143,2680,17112
2023-09,미국,5580,756,1547,96,23,0,517,1705,23,0,0,10247
2023-09,호주,1926,1836,485,434,535,11,1058,1650,781,0,2508,11224
2023-08,미국,6380,1473,2163,127,93,0,1376,1142,91,5,0,12850
2023-08,호주,2311,2597,518,336,808,61,1614,1994,1334,87,1930,13590
2023-07,미국,6453,970,2303,111,531,0,1550,1253,298,2,0,13471
2023-07,호주,2407,2166,622,686,598,28,1522,1849,1206,85,1209,12378
2023-06,미국,5584,1228,1993,266,599,1,1837,1836,796,1,0,14141
2023-06,호주,2441,1789,457,550,941,16,1386,2112,1269,108,2182,13251
2023-05,미국,7186,859,1631,136,562,3,2457,2966,867,9,0,16676
2023-05,호주,2383,2160,457,396,903,20,2071,2133,1439,43,2303,14308
2023-04,미국,6909,442,1179,142,439,2,2259,2997,454,27,0,14850
2023-04,호주,2487,2109,796,519,908,19,1994,2515,1597,68,2327,15339
2023-03,미국,8269,555,1135,256,498,10,2755,3593,575,94,0,17740
2023-03,호주,2427,1828,486,460,651,20,1154,1932,1154,38,2384,12534
2023-02,미국,7119,212,1218,161,261,2,2007,3465,197,35,0,14677
2023-02,호주,1546,1142,113,306,572,7,873,1231,841,23,1641,8295
2023-01,미국,5965,363,962,204,120,0,1968,2747,228,2,0,12559
2023-01,호주,1889,1626,455,352,571,0,1364,1894,1066,25,2455,11697
2022-12,미국,8522,366,1429,184,258,1,1662,4225,386,21,0,17054
2022-12,호주,2116,1291,1249,301,874,0,1261,2369,835,54,2388,12738
2022-11,미국,8432,818,1476,170,471,0,1481,4040,341,15,0,17244
2022-11,호주,2113,1166,267,268,507,32,1103,1231,727,73,1143,8630
2022-10,미국,7244,251,1977,144,445,3,1525,2930,384,11,0,14914
2022-10,호주,2254,1533,433,239,544,16,1182,1522,918,66,2213,10920
2022-09,미국,8062,731,1711,134,925,0,2184,3385,558,3,0,17693
2022-09,호주,2152,1950,236,322,1030,15,1253,1420,1190,31,2870,12469
2022-08,미국,7216,1080,1657,143,388,0,1707,3807,441,24,0,16463
2022-08,호주,2284,1788,356,296,872,4,1384,1764,1500,5,2715,12968
2022-07,미국,9105,890,1978,273,395,1,1561,4212,254,11,0,18680
2022-07,호주,2701,1501,419,317,850,9,987,1899,1208,0,2090,11981
2022-06,미국,8383,641,1145,212,104,2,1431,3698,153,31,0,15800
2022-06,호주,2088,1120,411,133,342,3,595,1533,608,13,1826,8672
2022-05,미국,8904,338,1658,167,114,2,1509,5806,167,20,0,18685
2022-05,호주,2053,1613,303,251,284,6,795,1853,943,23,2333,10457
2022-04,미국,7838,487,1005,120,189,0,1321,4723,76,5,0,15764
2022-04,호주,1923,986,246,274,111,3,347,1386,474,4,1551,7305
2022-03,미국,8094,643,942,209,169,1,1317,5487,199,40,0,17101
2022-03,호주,1556,1032,385,264,277,4,670,1856,719,3,2013,8779
2022-02,미국,7731,493,1440,95,194,0,2207,4301,186,12,0,16659
2022-02,호주,1537,718,167,112,141,22,552,1340,413,31,1471,6504
2022-01,미국,4963,270,1342,86,43,0,947,2463,152,67,0,10333
2022-01,호주,2909,1933,315,308,652,6,1346,3597,1242,50,2547,14905
