std_ym,품명,구분,부위,국가,전년도_누계,전년도_12월_누계,당월_상순,당월_중순,당월_하순,당월_소계,당해년도_누계
2026-01,소고기,냉동,갈비,미국,"86,119,639.746",0,"1,959,187.634","2,351,361.735","2,110,859.31","6,421,408.679","6,421,408.679"
2026-01,소고기,냉동,갈비,호주,"37,300,431.04",0,"1,351,661.63","1,124,170.21","1,028,600.92","3,504,432.76","3,504,432.76"
2026-01,소고기,냉동,등심,미국,"3,027,450.458",0,"24,251.74","12,774.53","17,288.1","54,314.37","54,314.37"
2026-01,소고기,냉동,등심,호주,"20,535,765",0,"598,659.93","604,300.16","621,466.56","1,824,426.65","1,824,426.65"
2026-01,소고기,냉동,목심,미국,"8,758,758.538",0,"424,843.171","500,810.18","362,583.18","1,288,236.531","1,288,236.531"
2026-01,소고기,냉동,목심,호주,"8,685,810.85",0,"219,995.38","320,120.32","180,167.04","720,282.74","720,282.74"
2026-01,소고기,냉동,사태,미국,"1,141,656.02",0,0,"6,441.78","1,956.88","8,398.66","8,398.66"
2026-01,소고기,냉동,사태,호주,"5,882,744.87",0,"167,185.33","196,199.37","145,847.48","509,232.18","509,232.18"
2026-01,소고기,냉동,설도,미국,"910,942.45",0,0,"3,736.3",0,"3,736.3","3,736.3"
2026-01,소고기,냉동,설도,호주,"13,811,697.29",0,"422,500.87","433,964.87","309,705.45","1,166,171.19","1,166,171.19"
2026-01,소고기,냉동,안심,미국,"229,016.37",0,0,"1,752.6",0,"1,752.6","1,752.6"
2026-01,소고기,냉동,안심,호주,"240,351.43",0,"4,742.32","1,269.01","18,237.15","24,248.48","24,248.48"
2026-01,소고기,냉동,앞다리,미국,"8,936,818.24",0,"288,283.69","397,914.88","412,778.95","1,098,977.52","1,098,977.52"
2026-01,소고기,냉동,앞다리,호주,"25,194,639.415",0,"706,838.1","989,347.56","629,264.02","2,325,449.68","2,325,449.68"
2026-01,소고기,냉동,양지,미국,"44,658,048.446",0,"856,983.016","1,295,665.064","1,673,808.405","3,826,456.485","3,826,456.485"
2026-01,소고기,냉동,양지,호주,"30,694,885.13",0,"719,129.01","1,023,267.88","622,212.45","2,364,609.34","2,364,609.34"
2026-01,소고기,냉동,우둔,미국,"12,285.14",0,0,0,0,0,0
2026-01,소고기,냉동,우둔,호주,"15,920,308.49",0,"645,161.88","566,479.82","496,029.87","1,707,671.57","1,707,671.57"
2026-01,소고기,냉동,채끝,미국,"64,664.47",0,0,"3,108.7",0,"3,108.7","3,108.7"
2026-01,소고기,냉동,채끝,호주,"600,600.02",0,"17,936.17","25,608.98",114.06,"43,659.21","43,659.21"
2026-01,소고기,냉동,기타,호주,"28,089,764.31",0,"763,572.83","718,885.6","548,255.2","2,030,713.63","2,030,713.63"
2026-01,소고기,전체,갈비,미국,"86,119,639.746",0,"1,959,187.634","2,351,361.735","2,110,859.31","6,421,408.679","6,421,408.679"
2026-01,소고기,전체,갈비,호주,"37,300,431.04",0,"1,351,661.63","1,124,170.21","1,028,600.92","3,504,432.76","3,504,432.76"
2026-01,소고기,전체,등심,미국,"3,027,450.458",0,"24,251.74","12,774.53","17,288.1","54,314.37","54,314.37"
2026-01,소고기,전체,등심,호주,"20,535,765",0,"598,659.93","604,300.16","621,466.56","1,824,426.65","1,824,426.65"
2026-01,소고기,전체,목심,미국,"8,758,758.538",0,"424,843.171","500,810.18","362,583.18","1,288,236.531","1,288,236.531"
2026-01,소고기,전체,목심,호주,"8,685,810.85",0,"219,995.38","320,120.32","180,167.04","720,282.74","720,282.74"
2026-01,소고기,전체,사태,미국,"1,141,656.02",0,0,"6,441.78","1,956.88","8,398.66","8,398.66"
2026-01,소고기,전체,사태,호주,"5,882,744.87",0,"167,185.33","196,199.37","145,847.48","509,232.18","509,232.18"
