품목명,보관,도매시세_raw,원산지,도매시세
갈비살/늑간살-미국 | IBP(245L),냉동,"24,580 원  -",미국,24580
갈비살/늑간살-미국 | 엑셀(ESA/앵거스)(86K(EXCEL/ESA)),냉동,"22,340 원  -",미국,22340
갈비살/늑간살-미국 | 오마하(960A),냉동,"21,320 원  -",미국,21320
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,520 원  -",미국,20520
갈비살/늑간살-미국 | 뎀코타(45471),냉동,"20,510 원  -",미국,20510
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 크릭스톤(27),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 브롤리비프(21488),냉동,"19,240 원  -",미국,19240
갈비살/늑간살-호주 | GREENSTOCK/울워스(249),냉동,"18,790 원  -",호주,18790
갈비살/늑간살-미국 | IBP(245L),냉동,"24,580 원  -",미국,24580
갈비살/늑간살-미국 | 엑셀(ESA/앵거스)(86K(EXCEL/ESA)),냉동,"22,340 원  -",미국,22340
갈비살/늑간살-미국 | 오마하(960A),냉동,"21,320 원  -",미국,21320
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,520 원  -",미국,20520
갈비살/늑간살-미국 | 뎀코타(45471),냉동,"20,510 원  -",미국,20510
갈비살/늑간살-미국 | 샘케인/STX(337),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 크릭스톤(27),냉동,"20,170 원  -",미국,20170
갈비살/늑간살-미국 | 브롤리비프(21488),냉동,"19,240 원  -",미국,19240
갈비살/늑간살-호주 | GREENSTOCK/울워스(249),냉동,"18,790 원  -",호주,18790
갈비살/늑간살-미국 | 오로라 앵거스 비프(788),냉동,"18,240 원  -",미국,18240
곱창-호주 | 티스(291),냉동,"4,520 원  -",호주,4520
곱창-호주 | 티스,냉동,"4,520 원  ▼ 20 ( -0.4%)",호주,4520
