date,short_desc,value,unit,reference_period
2019-01-01,"CATTLE, ON FEED - INVENTORY",14367900.0,HEAD,FIRST OF JAN
2019-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1964000.0,HEAD,JAN
2019-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1907000.0,HEAD,JAN
2019-02-01,"CATTLE, ON FEED - INVENTORY",11676000.0,HEAD,FIRST OF FEB
2019-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1858000.0,HEAD,FEB
2019-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1683000.0,HEAD,FEB
2019-03-01,"CATTLE, ON FEED - INVENTORY",11785000.0,HEAD,FIRST OF MAR
2019-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2011000.0,HEAD,MAR
2019-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1774000.0,HEAD,MAR
2019-04-01,"CATTLE, ON FEED - INVENTORY",11953000.0,HEAD,FIRST OF APR
2019-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1842000.0,HEAD,APR
2019-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1928000.0,HEAD,APR
2019-05-01,"CATTLE, ON FEED - INVENTORY",11807000.0,HEAD,FIRST OF MAY
2019-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2064000.0,HEAD,MAY
2019-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2071000.0,HEAD,MAY
2019-06-01,"CATTLE, ON FEED - INVENTORY",11728000.0,HEAD,FIRST OF JUN
2019-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1763000.0,HEAD,JUN
2019-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1945000.0,HEAD,JUN
2019-07-01,"CATTLE, ON FEED - INVENTORY",13600000.0,HEAD,FIRST OF JUL
2019-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1707000.0,HEAD,JUL
2019-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2004000.0,HEAD,JUL
2019-08-01,"CATTLE, ON FEED - INVENTORY",11112000.0,HEAD,FIRST OF AUG
2019-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1884000.0,HEAD,AUG
2019-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1953000.0,HEAD,AUG
2019-09-01,"CATTLE, ON FEED - INVENTORY",10982000.0,HEAD,FIRST OF SEP
2019-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2102000.0,HEAD,SEP
2019-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1737000.0,HEAD,SEP
2019-10-01,"CATTLE, ON FEED - INVENTORY",11288000.0,HEAD,FIRST OF OCT
2019-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2462000.0,HEAD,OCT
2019-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1875000.0,HEAD,OCT
2019-11-01,"CATTLE, ON FEED - INVENTORY",11816000.0,HEAD,FIRST OF NOV
2019-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2093000.0,HEAD,NOV
2019-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1813000.0,HEAD,NOV
2019-12-01,"CATTLE, ON FEED - INVENTORY",12031000.0,HEAD,FIRST OF DEC
2019-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1837000.0,HEAD,DEC
2019-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1833000.0,HEAD,DEC
2020-01-01,"CATTLE, ON FEED - INVENTORY",14657700.0,HEAD,FIRST OF JAN
2020-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1953000.0,HEAD,JAN
2020-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1929000.0,HEAD,JAN
2020-02-01,"CATTLE, ON FEED - INVENTORY",11938000.0,HEAD,FIRST OF FEB
2020-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1716000.0,HEAD,FEB
2020-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1775000.0,HEAD,FEB
2020-03-01,"CATTLE, ON FEED - INVENTORY",11821000.0,HEAD,FIRST OF MAR
2020-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1556000.0,HEAD,MAR
2020-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2009000.0,HEAD,MAR
2020-04-01,"CATTLE, ON FEED - INVENTORY",11307000.0,HEAD,FIRST OF APR
2020-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1428000.0,HEAD,APR
2020-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1455000.0,HEAD,APR
2020-05-01,"CATTLE, ON FEED - INVENTORY",11210000.0,HEAD,FIRST OF MAY
2020-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2063000.0,HEAD,MAY
2020-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1516000.0,HEAD,MAY
2020-06-01,"CATTLE, ON FEED - INVENTORY",11691000.0,HEAD,FIRST OF JUN
2020-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1799000.0,HEAD,JUN
2020-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1970000.0,HEAD,JUN
2020-07-01,"CATTLE, ON FEED - INVENTORY",13600000.0,HEAD,FIRST OF JUL
2020-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1896000.0,HEAD,JUL
2020-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1993000.0,HEAD,JUL
2020-08-01,"CATTLE, ON FEED - INVENTORY",11304000.0,HEAD,FIRST OF AUG
2020-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2063000.0,HEAD,AUG
2020-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1893000.0,HEAD,AUG
2020-09-01,"CATTLE, ON FEED - INVENTORY",11419000.0,HEAD,FIRST OF SEP
2020-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2238000.0,HEAD,SEP
2020-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1847000.0,HEAD,SEP
2020-10-01,"CATTLE, ON FEED - INVENTORY",11752000.0,HEAD,FIRST OF OCT
2020-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2193000.0,HEAD,OCT
2020-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1874000.0,HEAD,OCT
2020-11-01,"CATTLE, ON FEED - INVENTORY",12008000.0,HEAD,FIRST OF NOV
2020-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1906000.0,HEAD,NOV
2020-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1782000.0,HEAD,NOV
2020-12-01,"CATTLE, ON FEED - INVENTORY",12071000.0,HEAD,FIRST OF DEC
2020-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1845000.0,HEAD,DEC
2020-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1854000.0,HEAD,DEC
2021-01-01,"CATTLE, ON FEED - INVENTORY",14667500.0,HEAD,FIRST OF JAN
2021-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2034000.0,HEAD,JAN
