년월,부위,중량
2019-01,갈비,6930137.81
2019-01,등심,379739.77
2019-01,목심,1596319.18
2019-01,사태,187901.39
2019-01,설도,25622.86
2019-01,안심,626.2
2019-01,앞다리,2234446.04
2019-01,양지,1243523.284
2019-01,우둔,147194.93
2019-01,채끝,20438.84
2019-01,기타,0.0
2019-02,갈비,6796488.026
2019-02,등심,270623.03
2019-02,목심,660998.94
2019-02,사태,47586.85
2019-02,설도,0.0
2019-02,안심,0.0
2019-02,앞다리,1795480.29
2019-02,양지,2734332.12
2019-02,우둔,68337.7
2019-02,채끝,22765.7
2019-02,기타,0.0
2019-03,갈비,7242722.54
2019-03,등심,322290.19
2019-03,목심,557721.23
2019-03,사태,113814.37
2019-03,설도,7898.902
2019-03,안심,1472.24
2019-03,앞다리,1160894.43
2019-03,양지,3072419.23
2019-03,우둔,26323.853
2019-03,채끝,7974.471
2019-03,기타,19568.609
2019-04,갈비,8830535.76
2019-04,등심,297672.22
2019-04,목심,894916.89
2019-04,사태,69724.02
2019-04,설도,4368.63
2019-04,안심,832.43
2019-04,앞다리,1288294.18
2019-04,양지,4210843.0
2019-04,우둔,138495.5
2019-04,채끝,12032.24
2019-04,기타,47.76
2019-05,갈비,9283610.43
2019-05,등심,357565.61
2019-05,목심,2408096.44
2019-05,사태,68070.24
2019-05,설도,70.39
2019-05,안심,466.98
2019-05,앞다리,1755471.8
2019-05,양지,3935579.851
2019-05,우둔,159312.11
2019-05,채끝,6116.52
2019-05,기타,0.0
2019-06,갈비,7378694.55
2019-06,등심,1085090.4
2019-06,목심,2740735.14
2019-06,사태,33116.08
2019-06,설도,78018.4
2019-06,안심,274.06
2019-06,앞다리,1539603.96
2019-06,양지,2710265.82
2019-06,우둔,157435.11
2019-06,채끝,14721.09
2019-06,기타,0.0
2019-07,갈비,8955107.5
2019-07,등심,1831066.58
2019-07,목심,3241298.9
2019-07,사태,70313.9
2019-07,설도,188341.74
2019-07,안심,0.0
2019-07,앞다리,1449497.84
2019-07,양지,2460883.86
2019-07,우둔,360230.49
2019-07,채끝,24523.1
2019-07,기타,0.0
2019-08,갈비,8889863.58
2019-08,등심,3046995.06
2019-08,목심,2242787.61
2019-08,사태,73218.64
2019-08,설도,274674.84
2019-08,안심,1206.7
2019-08,앞다리,2228338.4
2019-08,양지,2277089.11
2019-08,우둔,241948.38
2019-08,채끝,525.9
2019-08,기타,0.0
2019-09,갈비,6922064.517
2019-09,등심,721763.684
2019-09,목심,1646072.46
2019-09,사태,87096.4
2019-09,설도,153746.19
2019-09,안심,198.677
2019-09,앞다리,2190858.02
2019-09,양지,2503263.22
2019-09,우둔,136319.86
2019-09,채끝,13378.766
2019-09,기타,0.0
2019-10,갈비,10732674.52
2019-10,등심,450315.94
2019-10,목심,1616871.94
2019-10,사태,74176.03
2019-10,설도,155199.39
2019-10,안심,68.0
2019-10,앞다리,2398844.5
2019-10,양지,2560949.89
2019-10,우둔,227134.61
2019-10,채끝,17802.9
2019-10,기타,0.0
2019-11,갈비,7593024.71
2019-11,등심,239862.09
2019-11,목심,713330.07
2019-11,사태,94552.52
2019-11,설도,111075.84
2019-11,안심,1129.9
2019-11,앞다리,1917350.47
2019-11,양지,1818953.37
2019-11,우둔,224860.0
2019-11,채끝,18512.62
2019-11,기타,0.0
2019-12,갈비,7969175.217
2019-12,등심,170377.73
2019-12,목심,792584.7
2019-12,사태,132699.06
2019-12,설도,72276.72
2019-12,안심,190.77
2019-12,앞다리,1638191.8
2019-12,양지,1778194.71
2019-12,우둔,3479.8
2019-12,채끝,21467.06
2019-12,기타,0.0
2020-01,갈비,7027354.3
2020-01,등심,178397.68
2020-01,목심,689858.55
2020-01,사태,169072.39
2020-01,설도,180775.1
2020-01,안심,0.0
2020-01,앞다리,1760748.01
2020-01,양지,2895348.46
2020-01,우둔,22888.52
2020-01,채끝,7418.03
2020-01,기타,0.0
2020-02,갈비,7981221.57
2020-02,등심,123580.62
2020-02,목심,1172419.56
2020-02,사태,169486.59
2020-02,설도,89964.65
2020-02,안심,508.3
2020-02,앞다리,1519573.92
2020-02,양지,2167264.57
2020-02,우둔,45223.93
2020-02,채끝,4169.97
2020-02,기타,0.0
2020-03,갈비,6758387.943
2020-03,등심,477056.84
2020-03,목심,1916707.05
2020-03,사태,52244.02
2020-03,설도,160424.57
2020-03,안심,2348.0
2020-03,앞다리,1913654.58
2020-03,양지,1210176.37
2020-03,우둔,107831.71
2020-03,채끝,2028.52
2020-03,기타,0.0
2020-04,갈비,9527149.971
2020-04,등심,290695.43
2020-04,목심,966142.86
2020-04,사태,126032.23
2020-04,설도,152199.27
2020-04,안심,1729.889
2020-04,앞다리,2250096.359
2020-04,양지,1563773.648
2020-04,우둔,95845.102
2020-04,채끝,5029.771
2020-04,기타,0.0
2020-05,갈비,8725246.89
2020-05,등심,212864.48
2020-05,목심,249135.86
2020-05,사태,69927.19
2020-05,설도,97455.72
2020-05,안심,1296.9
2020-05,앞다리,1431947.18
2020-05,양지,1969944.08
2020-05,우둔,121124.4
2020-05,채끝,4568.01
2020-05,기타,14230.11
2020-06,갈비,7530464.27
2020-06,등심,275896.26
2020-06,목심,868122.64
2020-06,사태,138738.36
2020-06,설도,44023.04
2020-06,안심,0.0
2020-06,앞다리,1687765.35
2020-06,양지,2715203.52
2020-06,우둔,88120.67
2020-06,채끝,7556.47
2020-06,기타,0.0
2020-07,갈비,6499496.12
2020-07,등심,301786.47
2020-07,목심,1021011.13
2020-07,사태,27147.17
2020-07,설도,666.05
2020-07,안심,2280.86
2020-07,앞다리,1785122.51
2020-07,양지,1804291.89
2020-07,우둔,137482.14
2020-07,채끝,1089.36
2020-07,기타,0.0
2020-08,갈비,8166965.9
2020-08,등심,1621590.12
2020-08,목심,2080305.57
2020-08,사태,2497.0
2020-08,설도,92703.11
2020-08,안심,3145.32
2020-08,앞다리,2314298.53
2020-08,양지,2464055.38
2020-08,우둔,160938.78
2020-08,채끝,2088.44
2020-08,기타,0.0
2020-09,갈비,8473136.6784
2020-09,등심,1732203.89
2020-09,목심,2440651.82
2020-09,사태,92330.98
2020-09,설도,197951.86
2020-09,안심,947.37
2020-09,앞다리,2311237.18
2020-09,양지,2825607.81
2020-09,우둔,326524.04
2020-09,채끝,3715.38
2020-09,기타,0.0
2020-10,갈비,7089456.02
2020-10,등심,1587504.57
2020-10,목심,1692648.04
2020-10,사태,63582.88
2020-10,설도,55881.92
2020-10,안심,259.09
2020-10,앞다리,1304588.82
2020-10,양지,2830284.83
2020-10,우둔,279034.78
2020-10,채끝,6179.32
2020-10,기타,0.0
2020-11,갈비,7042588.65
