년월,부위,중량
2025-01,갈비,6043215.33
2025-01,등심,23446.39
2025-01,목심,245803.88
2025-01,사태,42320.56
2025-01,설도,25748.69
2025-01,안심,25109.04
2025-01,앞다리,1230893.88
2025-01,양지,4146620.04
2025-01,우둔,168.8
2025-01,채끝,11582.16
2025-01,기타,0.0
2025-02,갈비,6991296.07
2025-02,등심,46901.58
2025-02,목심,587272.2
2025-02,사태,74099.71
2025-02,설도,2178.5
2025-02,안심,42674.36
2025-02,앞다리,1622177.86
2025-02,양지,4172426.22
2025-02,우둔,0.0
2025-02,채끝,711.3
2025-02,기타,0.0
2025-03,갈비,7133785.51
2025-03,등심,104991.18
2025-03,목심,56343.49
2025-03,사태,16999.05
2025-03,설도,0.0
2025-03,안심,42441.71
2025-03,앞다리,843361.04
2025-03,양지,3831735.04
2025-03,우둔,0.0
2025-03,채끝,11160.03
2025-03,기타,0.0
2025-04,갈비,7749755.17
2025-04,등심,712714.29
2025-04,목심,476493.93
2025-04,사태,32657.74
2025-04,설도,79832.7
2025-04,안심,8013.45
2025-04,앞다리,849194.51
2025-04,양지,3843351.02
2025-04,우둔,41.01
2025-04,채끝,20724.02
2025-04,기타,0.0
2025-05,갈비,9286955.45
2025-05,등심,518590.57
2025-05,목심,2027652.34
2025-05,사태,87018.89
2025-05,설도,575102.29
2025-05,안심,28560.15
2025-05,앞다리,1600253.64
2025-05,양지,6606231.65
2025-05,우둔,11239.0
2025-05,채끝,0.0
2025-05,기타,0.0
2025-06,갈비,7320015.23
2025-06,등심,280018.54
2025-06,목심,1161337.03
2025-06,사태,81903.16
2025-06,설도,22329.9
2025-06,안심,11729.23
2025-06,앞다리,844214.03
2025-06,양지,4538791.48
2025-06,우둔,0.0
2025-06,채끝,3781.64
2025-06,기타,0.0
2025-07,갈비,8832155.99
2025-07,등심,652176.88
2025-07,목심,732307.66
2025-07,사태,148035.66
2025-07,설도,133.2
2025-07,안심,22510.9
2025-07,앞다리,786368.83
2025-07,양지,4606353.25
2025-07,우둔,547.3
2025-07,채끝,8288.55
2025-07,기타,0.0
2025-08,갈비,6106550.51
2025-08,등심,210856.39
2025-08,목심,567762.57
2025-08,사태,126936.57
2025-08,설도,4858.53
2025-08,안심,1664.14
2025-08,앞다리,256194.58
2025-08,양지,2708829.78
2025-08,우둔,289.03
2025-08,채끝,195.17
2025-08,기타,0.0
2025-09,갈비,6405235.164
2025-09,등심,201819.91
2025-09,목심,935258.07
2025-09,사태,107690.65
2025-09,설도,937.69
2025-09,안심,328.0
2025-09,앞다리,291988.16
2025-09,양지,2027854.06
2025-09,우둔,0.0
2025-09,채끝,808.19
2025-09,기타,0.0
2025-10,갈비,6047939.6
2025-10,등심,72142.23
2025-10,목심,121230.133
2025-10,사태,165465.36
2025-10,설도,0.0
2025-10,안심,22643.26
2025-10,앞다리,92024.95
2025-10,양지,2688014.07
2025-10,우둔,0.0
2025-10,채끝,623.59
2025-10,기타,0.0
2025-11,갈비,5977071.724
2025-11,등심,87498.088
2025-11,목심,105160.6
2025-11,사태,146719.06
2025-11,설도,87888.14
2025-11,안심,88.4
2025-11,앞다리,114518.25
2025-11,양지,2428277.55
2025-11,우둔,0.0
2025-11,채끝,12.8
2025-11,기타,0.0
