date,part_name,country,brand,wholesale_price
2025-12-22,갈비,국산(한우암소),동명F&B,17580
2025-12-22,갈비본살,미국,IBP,37030
2025-12-22,갈비본살,미국,IBP,29610
2025-12-22,갈비살/늑간살,미국,IBP,26370
2025-12-22,갈비살/늑간살,미국,IBP(245L),2458019008
2025-12-22,갈비살/늑간살,미국,오로라 앵거스 비프(788),22700
2025-12-22,갈비살/늑간살,미국,IBP,22400
2025-12-22,갈비살/늑간살,미국,엑셀(ESA/앵거스)(86K(EXCEL/ESA)),22340
2025-12-22,갈비살/늑간살,미국,오마하(960A),21420
2025-12-22,갈비살/늑간살,미국,스위프트,21260
2025-12-22,갈비살/늑간살,미국,샘케인/STX(337),21140
2025-12-22,갈비살/늑간살,미국,뎀코타(45471),20510
2025-12-22,갈비살/늑간살,미국,IBP,20250
2025-12-22,갈비살/늑간살,캐나다,캐내디언 다이아몬드 비프(38),20230
2025-12-22,갈비살/늑간살,미국,엑셀(86E),1983047024
2025-12-22,갈비살/늑간살,미국,샘케인/STX(337),19430
2025-12-22,갈비살/늑간살,호주,GREENSTOCK/울워스(234),18330
2025-12-22,갈비살/늑간살,호주,AMH(170),16440
2025-12-22,갈비살/늑간살,멕시코,수까르네,15940
2025-12-22,갈비잡뼈,국산(한우거세),건화,280
2025-12-22,갈비정육,국산(한우거세),건화,6890
2025-12-22,곱대창(전골용),국산(한우거세),건방이하늘을찌른다,13820
2025-12-22,곱창,국산(한우거세),내장간,16590
2025-12-22,곱창,호주,티스(291),4540
2025-12-22,곱창,뉴질랜드,AMP,4500
2025-12-22,곱창,호주,티스,4450
2025-12-22,곱창,칠레,프리고오소노,3340
2025-12-22,곱창,호주,티스,2920
2025-12-22,곱창,호주,킬코이(640),2600
2025-12-22,기타,국산(한우거세),내장간,16130
2025-12-22,기타,국산(한우거세),내장간,7800
2025-12-22,깐양,국산(한우거세),건방이하늘을찌른다,7340
2025-12-22,깐양,국산(한우거세),내장간,7060
2025-12-22,꼬리,호주,오키(558),22010
2025-12-22,꼬리,국산(한우거세),당당한우,3270
2025-12-22,꼬리,국산(한우거세),당당한우,3080
2025-12-22,꼬리,국산(한우거세),당당한우,3080
2025-12-22,꼬리,국산(한우거세),더미트한우,3030
2025-12-22,꼬리,국산(한우거세),건화,2940
2025-12-22,꼬리,국산(한우암소),박달재한우,2440
2025-12-22,꼬리,국산(한우거세),태랑,2440
2025-12-22,꼬리,국산(한우암소),더미트한우,2340
2025-12-22,꼬리,국산(한우암소),안심목장한우,2300
2025-12-22,꼬리,국산(한우암소),태랑,1980
2025-12-22,꼬리,국산(한우암소),신선P&F,1540
2025-12-22,꼬리반골,국산(한우거세),안심목장한우,2430
2025-12-22,꼬리반골,국산(한우거세),형원한우(무항생제),2420
2025-12-22,꼬리반골,국산(한우거세),형원한우,2340
2025-12-22,꼬리반골,국산(한우암소),형원한우(미경산),2340
2025-12-22,꼬리반골,국산(한우거세),올바른 한우,2340
2025-12-22,꾸리살,국산(한우거세),건화,31230
2025-12-22,꾸리살,국산(한우암소),건화,29790
2025-12-22,꾸리살,국산(한우거세),동명F&B,29010
2025-12-22,꾸리살,국산(한우암소),건화,27530
2025-12-22,꾸리살,국산(한우거세),건화,27450
2025-12-22,꾸리살,국산(한우거세),건화,24490
2025-12-22,대마구리,국산(한우거세),건화,3250
2025-12-22,대창,국산(한우거세),건방이하늘을찌른다,16590
