,kr_price,us_price,exchange_rate,import_vol,stock,import_vol_mom,import_vol_yoy,stock_mom,stock_yoy,stock_ma_3,margin_spread,us_price_lag_1,exchange_rate_lag_1,us_price_lag_2,exchange_rate_lag_2,us_price_lag_3,exchange_rate_lag_3,kr_price_lead_1,kr_price_lead_2,kr_price_lead_3,kr_price_lead_4,kr_price_lead_5,kr_price_lead_6,kr_price_max_6m,target_max_diff_6m
2020-04-01,2411.0,12.166385276073619,1224.2,12108.0,59834.0,0.37935748462064245,0.05195482189400513,0.08686332921601392,0.25259588008708755,55903.333333333336,-12483.088854969325,13.169493785310735,1220.4318181818182,12.578357228915664,1195.6,12.96344375,1167.9,2492.0,2396.0,2363.0,2490.0,2478.0,2468.0,2492.0,81.0
2020-05-01,2492.0,17.422213756613758,1230.4736842105262,11683.0,60827.0,-0.0351007598282127,0.015383278289587965,0.01659591536584548,0.23328805174266543,58571.0,-18945.575548203844,12.166385276073619,1224.2,13.169493785310735,1220.4318181818182,12.578357228915664,1195.6,2396.0,2363.0,2490.0,2478.0,2468.0,2470.0,2490.0,-2.0
2020-06-01,2396.0,14.573406220095693,1208.3636363636363,10112.0,58057.0,-0.13446888641616028,0.09366212416179964,-0.04553898762062902,0.13332812774513436,59572.666666666664,-15213.974134319265,17.422213756613758,1230.4736842105262,12.166385276073619,1224.2,13.169493785310735,1220.4318181818182,2363.0,2490.0,2478.0,2468.0,2470.0,2472.0,2490.0,94.0
2020-07-01,2363.0,12.535200485436892,1199.1521739130435,9384.0,57984.0,-0.071993670886076,-0.18229348204949458,-0.0012573849837228535,0.07626914153132258,58956.0,-12668.612912547487,14.573406220095693,1208.3636363636363,17.422213756613758,1230.4736842105262,12.166385276073619,1224.2,2490.0,2478.0,2468.0,2470.0,2472.0,2475.0,2490.0,127.0
2020-08-01,2490.0,13.297873684210526,1186.95,10074.0,58468.0,0.07352941176470584,-0.09382027525411529,0.008347130242825518,0.09541920374707269,58169.666666666664,-13293.911169473684,12.535200485436892,1199.1521739130435,14.573406220095693,1208.3636363636363,17.422213756613758,1230.4736842105262,2478.0,2468.0,2470.0,2472.0,2475.0,2462.0,2478.0,-12.0
2020-09-01,2478.0,14.155484895833332,1177.8857142857141,10798.0,59660.0,0.07186817550129043,0.21956177998644688,0.020387220359854963,0.1215339787574019,58704.0,-14195.543437589284,13.297873684210526,1186.95,12.535200485436892,1199.1521739130435,14.573406220095693,1208.3636363636363,2468.0,2470.0,2472.0,2475.0,2462.0,2452.0,2475.0,-3.0
2020-10-01,2468.0,14.138973399014779,1142.3157894736842,8841.0,57217.0,-0.18123726616040003,-0.3425788221296847,-0.04094870935300032,0.016558585768854828,58448.333333333336,-13683.172560642986,14.155484895833332,1177.8857142857141,13.297873684210526,1186.95,12.535200485436892,1199.1521739130435,2470.0,2472.0,2475.0,2462.0,2452.0,2446.0,2475.0,7.0
2020-11-01,2470.0,15.42980114942529,1115.6666666666667,8918.0,56799.0,0.008709422011084822,-0.07852862161603635,-0.007305521086390376,0.017684368952913365,57892.0,-14744.514815708815,14.138973399014779,1142.3157894736842,14.155484895833332,1177.8857142857141,13.297873684210526,1186.95,2472.0,2475.0,2462.0,2452.0,2446.0,2452.0,2475.0,5.0
2020-12-01,2472.0,14.659693406593405,1095.1136363636363,9810.0,58728.0,0.10002242655303872,-0.03539823008849563,0.033961865525801604,0.07755820994110207,57581.333333333336,-13582.030154470527,15.42980114942529,1115.6666666666667,14.138973399014779,1142.3157894736842,14.155484895833332,1177.8857142857141,2475.0,2462.0,2452.0,2446.0,2452.0,2493.0,2493.0,21.0
2021-01-01,2475.0,12.818906818181818,1100.05,7507.0,48643.0,-0.23476044852191646,-0.18348923210789647,-0.17172387958043867,-0.02126760563380281,54723.333333333336,-11626.438445340907,14.659693406593405,1095.1136363636363,15.42980114942529,1115.6666666666667,14.138973399014779,1142.3157894736842,2462.0,2452.0,2446.0,2452.0,2493.0,2562.0,2562.0,87.0
2021-02-01,2462.0,14.295204705882353,1112.6944444444443,6736.0,49178.0,-0.10270414280005324,-0.2748412100333728,0.01099849927019303,-0.06902165682265637,52183.0,-13444.194858431372,12.818906818181818,1100.05,14.659693406593405,1095.1136363636363,15.42980114942529,1115.6666666666667,2452.0,2446.0,2452.0,2493.0,2562.0,2577.0,2577.0,115.0
