date,price_won_per_kg,source,n_obs
2016-12-01,5200.0,dealer,4
2017-01-01,5467.0,dealer,6
2017-02-01,5025.0,dealer,8
2017-03-01,5281.0,dealer,8
2017-04-01,5938.0,dealer,4
2017-09-01,6650.0,dealer,2
2017-12-01,6800.0,dealer,1
2018-01-01,6870.0,dealer,5
2018-02-01,7033.0,dealer,3
2018-03-01,6900.0,dealer,2
2018-04-01,6600.0,dealer,4
2018-05-01,6250.0,dealer,1
2018-06-01,6390.0,dealer,5
2018-07-01,6000.0,dealer,2
2018-08-01,5850.0,dealer,5
2018-09-01,6100.0,dealer,1
2018-10-01,6600.0,dealer,1
2019-01-01,6368.0,dealer,11
2019-03-01,6260.0,dealer,5
2019-04-01,6000.0,dealer,3
2019-05-01,5800.0,dealer,1
2019-06-01,5654.0,dealer,6
2019-07-01,5422.0,dealer,9
2019-09-01,5233.0,dealer,3
2019-10-01,5700.0,dealer,2
2019-11-01,5325.0,dealer,2
2019-12-01,5350.0,dealer,3
2020-02-01,5400.0,dealer,1
2021-01-01,6600.0,dealer,1
2022-08-01,6000.0,dealer,1
2022-10-01,5700.0,dealer,1
2022-11-01,4848.0,dealer,5
2022-12-01,5125.0,dealer,4
2023-01-01,5400.0,dealer,1
2023-02-01,6800.0,dealer,1
2023-03-01,7075.0,dealer,1
2023-04-01,6253.0,dealer,9
2023-05-01,6600.0,dealer,1
2023-08-01,7920.0,dealer,1
2023-11-01,8775.0,dealer,6
2023-12-01,7783.0,dealer,3
2024-01-01,8550.0,dealer,2
2024-02-01,8667.0,dealer,3
2024-03-01,9380.0,dealer,5
2024-04-01,9311.0,dealer,3
2024-05-01,10367.0,dealer,3
2024-06-01,10600.0,dealer,3
2024-07-01,9975.0,dealer,4
2024-08-01,10717.0,dealer,3
2024-11-01,10450.0,dealer,2
2025-01-01,10165.0,meatbox,90
2025-02-01,10153.0,meatbox,253
2025-03-01,9940.0,meatbox,310
2025-04-01,9014.0,meatbox,300
2025-05-01,8447.0,meatbox,310
2025-06-01,8306.0,meatbox,300
2025-07-01,7815.0,meatbox,310
2025-08-01,7935.0,meatbox,310
2025-09-01,9019.0,meatbox,300
2025-10-01,8920.0,meatbox,310
2025-11-01,8820.0,meatbox,300
2025-12-01,8865.0,meatbox,360
2026-01-01,8813.0,meatbox,385
2026-02-01,9017.0,meatbox,305
2026-03-01,9501.0,meatbox,324
2026-04-01,9793.0,meatbox,340
2026-05-01,9943.0,meatbox,338
2026-06-01,10282.0,meatbox,266
2026-07-01,10493.0,meatbox,254
2026-08-01,10273.0,meatbox,300
