report_date,primal_desc,choice_usd_per_kg,select_usd_per_kg
2019-01-02,Primal Plate,3.4039,3.4039
2019-01-03,Primal Plate,3.4313,3.4313
2019-01-04,Primal Plate,3.4216,3.4216
2019-01-07,Primal Plate,3.3343,3.3343
2019-01-08,Primal Plate,3.3484,3.3484
2019-01-09,Primal Plate,3.4335,3.4335
2019-01-10,Primal Plate,3.4196,3.4196
2019-01-11,Primal Plate,3.4416,3.4416
2019-01-14,Primal Plate,3.4505,3.4505
2019-01-15,Primal Plate,3.4544,3.4544
2019-01-16,Primal Plate,3.4542,3.4542
2019-01-17,Primal Plate,3.4544,3.4544
2019-01-18,Primal Plate,3.4379,3.4379
2019-01-21,Primal Plate,3.4432,3.4432
2019-01-22,Primal Plate,3.4851,3.4851
2019-01-23,Primal Plate,3.4727,3.4727
2019-01-24,Primal Plate,3.4427,3.4427
2019-01-25,Primal Plate,3.4551,3.4551
2019-01-28,Primal Plate,3.4666,3.4666
2019-01-29,Primal Plate,3.4696,3.4696
2019-01-30,Primal Plate,3.4959,3.4959
2019-01-31,Primal Plate,3.4813,3.4813
2019-02-01,Primal Plate,3.4683,3.4683
2019-02-04,Primal Plate,3.4877,3.4877
2019-02-05,Primal Plate,3.5217,3.5217
2019-02-06,Primal Plate,3.4974,3.4974
2019-02-07,Primal Plate,3.499,3.499
2019-02-08,Primal Plate,3.4884,3.4884
2019-02-11,Primal Plate,3.5071,3.5071
2019-02-12,Primal Plate,3.5439,3.5439
2019-02-13,Primal Plate,3.5336,3.5336
2019-02-14,Primal Plate,3.5223,3.5223
2019-02-15,Primal Plate,3.517,3.517
2019-02-18,Primal Plate,3.4789,3.4789
2019-02-19,Primal Plate,3.5087,3.5087
2019-02-20,Primal Plate,3.5208,3.5208
2019-02-21,Primal Plate,3.5265,3.5265
2019-02-22,Primal Plate,3.5358,3.5358
2019-02-25,Primal Plate,3.5111,3.5111
2019-02-26,Primal Plate,3.5212,3.5212
2019-02-27,Primal Plate,3.5115,3.5115
2019-02-28,Primal Plate,3.4857,3.4857
2019-03-01,Primal Plate,3.4763,3.4763
2019-03-04,Primal Plate,3.4897,3.4897
2019-03-05,Primal Plate,3.5975,3.5975
2019-03-06,Primal Plate,3.5739,3.5739
2019-03-07,Primal Plate,3.5532,3.5532
2019-03-08,Primal Plate,3.5528,3.5528
2019-03-11,Primal Plate,3.5755,3.5755
2019-03-12,Primal Plate,3.6379,3.6379
2019-03-13,Primal Plate,3.6742,3.6742
2019-03-14,Primal Plate,3.6495,3.6495
2019-03-15,Primal Plate,3.6628,3.6628
2019-03-18,Primal Plate,3.7302,3.7302
2019-03-19,Primal Plate,3.7053,3.7053
2019-03-20,Primal Plate,3.6489,3.6489
2019-03-21,Primal Plate,3.6872,3.6872
2019-03-22,Primal Plate,3.743,3.743
2019-03-25,Primal Plate,3.7767,3.7767
2019-03-26,Primal Plate,3.7723,3.7723
2019-03-27,Primal Plate,3.7518,3.7518
2019-03-28,Primal Plate,3.7205,3.7205
2019-03-29,Primal Plate,3.7218,3.7218
2019-04-01,Primal Plate,3.7077,3.7077
2019-04-02,Primal Plate,3.7097,3.7097
2019-04-03,Primal Plate,3.7814,3.7814
2019-04-04,Primal Plate,3.7712,3.7712
2019-04-05,Primal Plate,3.7827,3.7827
2019-04-08,Primal Plate,3.7754,3.7754
2019-04-09,Primal Plate,3.7988,3.7988
2019-04-10,Primal Plate,3.8003,3.8003
2019-04-11,Primal Plate,3.7829,3.7829
