date,china_exp,korea_exp,china_vs_med,korea_vs_med,alert_level,note
2019-01-01,37,850,,,0,정상
2019-02-01,782,26773,,,0,정상
2019-03-01,315,16383,,,0,정상
2019-04-01,346,15026,,,0,정상
2019-05-01,505,27829,,,0,정상
2019-06-01,494,21121,1.18,1.13,0,정상
2019-07-01,701,18665,1.42,1.0,0,정상
2019-08-01,1078,20892,2.16,1.06,0,정상
2019-09-01,1139,17467,2.26,0.94,0,정상
2019-10-01,1020,20149,1.69,1.04,0,정상
2019-11-01,2152,19541,3.07,1.0,0,정상
2019-12-01,1296,16570,1.75,0.87,0,정상
2020-01-01,562,20377,0.76,1.03,0,정상
2020-02-01,335,18792,0.53,0.98,0,정상
2020-03-01,492,17031,0.78,0.89,0,정상
2020-04-01,1486,21518,1.73,1.08,0,정상
2020-05-01,1037,12131,1.01,0.63,0,정상
2020-06-01,1259,15556,1.19,0.83,0,정상
2020-07-01,1626,27143,1.47,1.42,0,정상
2020-08-01,2980,22503,2.49,1.17,0,정상
2020-09-01,5131,18037,4.02,0.94,0,정상
2020-10-01,9424,21178,6.77,1.1,0,정상
2020-11-01,9084,17604,6.53,0.96,0,정상
2020-12-01,10265,22327,6.6,1.14,0,정상
2021-01-01,5233,19228,2.27,1.01,0,정상
2021-02-01,8233,18633,2.03,0.98,0,정상
2021-03-01,11468,18970,2.21,0.99,0,정상
2021-04-01,16563,29019,2.46,1.52,0,정상
2021-05-01,9808,18650,1.13,0.98,0,정상
2021-06-01,15912,19845,1.72,1.02,0,정상
2021-07-01,17228,26380,1.79,1.35,0,정상
2021-08-01,14559,22175,1.45,1.14,0,정상
2021-09-01,15897,21964,1.46,1.07,0,정상
2021-10-01,12036,18566,1.02,0.95,0,정상
2021-11-01,13056,19614,1.04,0.99,0,정상
2021-12-01,13819,24209,1.03,1.23,0,정상
2022-01-01,7394,17304,0.55,0.88,0,정상
2022-02-01,9708,18864,0.72,0.96,0,정상
2022-03-01,20532,27393,1.45,1.31,0,정상
2022-04-01,12945,22130,0.96,1.06,0,정상
2022-05-01,10837,21955,0.81,1.0,0,정상
2022-06-01,17719,24108,1.32,1.09,0,정상
2022-07-01,11098,20844,0.85,0.95,0,정상
2022-08-01,15451,19343,1.19,0.9,0,정상
2022-09-01,17633,21373,1.36,1.01,0,정상
2022-10-01,12012,17812,0.92,0.84,0,정상
2022-11-01,11253,19242,0.9,0.91,0,정상
2022-12-01,7947,22949,0.68,1.09,0,정상
2023-01-01,8881,15949,0.76,0.76,0,정상
2023-02-01,11091,17297,0.95,0.82,0,정상
2023-03-01,11597,20511,1.02,0.99,0,정상
2023-04-01,11604,18311,1.02,0.92,0,정상
2023-05-01,10707,17172,0.94,0.89,0,정상
2023-06-01,12947,19815,1.13,1.03,0,정상
2023-07-01,10356,15204,0.91,0.81,0,정상
2023-08-01,13847,18696,1.21,1.01,0,정상
2023-09-01,9428,14900,0.84,0.82,0,정상
2023-10-01,8762,14613,0.8,0.82,0,정상
2023-11-01,11075,19779,1.02,1.11,0,정상
2023-12-01,9081,18243,0.83,1.03,0,정상
2024-01-01,7640,16225,0.7,0.91,0,정상
2024-02-01,12643,21028,1.16,1.15,0,정상
2024-03-01,9944,15933,0.94,0.9,0,정상
2024-04-01,9671,14977,0.95,0.9,0,정상
2024-05-01,13351,20295,1.32,1.18,0,정상
2024-06-01,8256,15376,0.84,0.96,0,정상
2024-07-01,9119,14407,0.95,0.9,0,정상
2024-08-01,10603,16725,1.11,1.04,0,정상
2024-09-01,8891,14721,0.95,0.92,0,정상
2024-10-01,12093,21360,1.23,1.3,0,정상
2024-11-01,8772,18238,0.93,1.11,0,정상
2024-12-01,9984,16875,1.02,1.02,0,정상
2025-01-01,10133,15859,1.02,0.97,0,정상
2025-02-01,8682,15994,0.89,1.0,0,정상
2025-03-01,10290,17569,1.05,1.07,0,정상
2025-04-01,3563,21618,0.37,1.29,2,경보: 중국행 급감 + 한국행 과잉 → 공급과잉·가격 하방 위험
2025-05-01,567,22184,0.06,1.32,2,경보: 중국행 급감 + 한국행 과잉 → 공급과잉·가격 하방 위험
2025-06-01,1378,17543,0.15,1.02,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2025-07-01,337,18566,0.04,1.06,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2025-08-01,0,12249,0.0,0.7,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2025-09-01,0,12156,0.0,0.69,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2025-10-01,9,16932,0.0,0.98,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2025-11-01,36,15012,0.04,0.89,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2025-12-01,171,17148,0.38,1.01,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2026-01-01,0,15743,0.0,0.92,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2026-02-01,0,17120,0.0,1.0,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2026-03-01,0,16518,0.0,0.97,1,주의: 중국행 급감 (한국 전가 가능성 모니터링)
2026-04-01,0,21874,0.0,1.28,2,경보: 중국행 급감 + 한국행 과잉 → 공급과잉·가격 하방 위험
2026-05-01,4,17184,2.0,1.01,0,정상
2026-06-01,492,15259,246.0,0.91,0,정상
2026-07-01,1139,19287,569.5,1.15,0,정상
