date,source,grade,sex,market_code,market_name,is_national_total,is_regional_total,price_won_per_kg,head_count,part,country_name,ma7,ma30
2019-01-30,ekape_auction,1,전체,Center,Center,False,False,17606.0,4608,전체(도체),,,
2019-03-01,ekape_auction,1,전체,Center,Center,False,False,17606.0,2236,전체(도체),,,
2019-03-31,ekape_auction,1,전체,Center,Center,False,False,17396.0,2745,전체(도체),,17536.0,
2019-04-30,ekape_auction,1,전체,Center,Center,False,False,17430.0,3352,전체(도체),,17509.5,
2019-05-30,ekape_auction,1,전체,Center,Center,False,False,17649.0,3315,전체(도체),,17537.4,
2019-06-29,ekape_auction,1,전체,Center,Center,False,False,17708.0,3144,전체(도체),,17565.833333333332,
2019-07-29,ekape_auction,1,전체,Center,Center,False,False,17550.0,3049,전체(도체),,17563.571428571428,
2019-08-28,ekape_auction,1,전체,Center,Center,False,False,18251.0,4412,전체(도체),,17655.714285714286,
2019-09-27,ekape_auction,1,전체,Center,Center,False,False,18801.0,4198,전체(도체),,17826.428571428572,
2019-10-27,ekape_auction,1,전체,Center,Center,False,False,18294.0,3445,전체(도체),,17954.714285714286,17829.1
2019-11-26,ekape_auction,1,전체,Center,Center,False,False,17824.0,3926,전체(도체),,18011.0,17828.636363636364
2019-12-26,ekape_auction,1,전체,Center,Center,False,False,18246.0,4152,전체(도체),,18096.285714285714,17863.416666666668
2020-01-25,ekape_auction,1,전체,Center,Center,False,False,19590.0,4545,전체(도체),,18365.14285714286,17996.23076923077
2020-02-24,ekape_auction,1,전체,Center,Center,False,False,18406.0,2215,전체(도체),,18487.428571428572,18025.5
2020-03-25,ekape_auction,1,전체,Center,Center,False,False,19171.0,3076,전체(도체),,18618.85714285714,18101.866666666665
2020-04-24,ekape_auction,1,전체,Center,Center,False,False,19852.0,3080,전체(도체),,18769.0,18211.25
2020-05-24,ekape_auction,1,전체,Center,Center,False,False,20415.0,2767,전체(도체),,19072.0,18340.882352941175
2020-06-23,ekape_auction,1,전체,Center,Center,False,False,20336.0,3259,전체(도체),,19430.85714285714,18451.722222222223
2020-07-23,ekape_auction,1,전체,Center,Center,False,False,20345.0,3050,전체(도체),,19730.714285714286,18551.36842105263
2020-08-22,ekape_auction,1,전체,Center,Center,False,False,20746.0,2701,전체(도체),,19895.85714285714,18661.1
2020-09-21,ekape_auction,1,전체,Center,Center,False,False,20402.0,3667,전체(도체),,20181.0,18744.0
2020-10-21,ekape_auction,1,전체,Center,Center,False,False,20668.0,2299,전체(도체),,20394.85714285714,18831.454545454544
2020-11-20,ekape_auction,1,전체,Center,Center,False,False,19889.0,3239,전체(도체),,20400.14285714286,18877.434782608696
2020-12-20,ekape_auction,1,전체,Center,Center,False,False,18705.0,3121,전체(도체),,20155.85714285714,18870.25
2021-01-19,ekape_auction,1,전체,Center,Center,False,False,20898.0,4023,전체(도체),,20236.14285714286,18951.36
2021-02-18,ekape_auction,1,전체,Center,Center,False,False,19676.0,3840,전체(도체),,20140.571428571428,18979.23076923077
2021-03-20,ekape_auction,1,전체,Center,Center,False,False,20156.0,3251,전체(도체),,20056.285714285714,19022.814814814814
