part,n_days,coverage_pct,recent_days,max_gap,start,tier,status
센터컷,549,94,53,1,2025-01-22,0,제외(거래끊김)
척리블렛,531,90,36,56,2025-01-23,0,제외(거래끊김)
삼겹양지(조각),391,67,0,81,2025-01-22,0,제외(거래끊김)
토시살,100,17,0,36,2025-12-23,0,제외(거래끊김)
안창살,26,4,0,1,2025-12-22,0,제외(거래끊김)
스지(뒷스지),24,4,0,1,2025-12-22,0,제외(거래끊김)
안창살(조각),1,0,1,0,2026-08-31,0,제외(거래끊김)
갈비살/늑간살,587,100,91,1,2025-01-22,1,Tier1(안정)
등갈비/백립,587,100,91,1,2025-01-22,1,Tier1(안정)
등갈비/백립(#2스펙),587,100,91,1,2025-01-22,1,Tier1(안정)
목뼈,587,100,91,1,2025-01-22,1,Tier1(안정)
삼겹양지,587,100,91,1,2025-01-22,1,Tier1(안정)
설도,587,100,91,1,2025-01-22,1,Tier1(안정)
스지,587,100,91,1,2025-01-22,1,Tier1(안정)
아롱사태,587,100,91,1,2025-01-22,1,Tier1(안정)
알전각/볼라전각,587,100,91,1,2025-01-22,1,Tier1(안정)
앞/척갈비,587,100,91,1,2025-01-22,1,Tier1(안정)
차돌박이,587,100,91,1,2025-01-22,1,Tier1(안정)
차돌양지,587,100,91,1,2025-01-22,1,Tier1(안정)
알목심,584,99,91,4,2025-01-22,1,Tier1(안정)
BBQ등갈비,583,99,87,5,2025-01-22,1,Tier1(안정)
LA갈비,582,99,86,6,2025-01-22,1,Tier1(안정)
설깃,582,99,91,6,2025-01-22,1,Tier1(안정)
황제늑간,571,97,75,17,2025-01-22,1,Tier1(안정)
부채살,253,43,91,1,2025-12-22,1,Tier1(안정)
홍창/소막창,253,43,91,1,2025-12-22,1,Tier1(안정)
백립(조각백립),252,43,91,1,2025-12-23,1,Tier1(안정)
사골(뒷왕사골),200,34,91,53,2025-12-22,2,Tier2(신규·활성)
살치살,141,24,91,1,2026-04-13,2,Tier2(신규·활성)
