date,type,base,low,high
2019-01-01,actual,6368,,
2019-02-01,actual,6314,,
2019-03-01,actual,6260,,
2019-04-01,actual,6000,,
2019-05-01,actual,5800,,
2019-06-01,actual,5654,,
2019-07-01,actual,5422,,
2019-08-01,actual,5328,,
2019-09-01,actual,5233,,
2019-10-01,actual,5700,,
2019-11-01,actual,5325,,
2019-12-01,actual,5350,,
2020-01-01,actual,5375,,
2020-02-01,actual,5400,,
2020-03-01,actual,5509,,
2020-04-01,actual,5618,,
2021-01-01,actual,6600,,
2021-02-01,actual,6568,,
2021-03-01,actual,6537,,
2022-08-01,actual,6000,,
2022-09-01,actual,5850,,
2022-10-01,actual,5700,,
2022-11-01,actual,4848,,
2022-12-01,actual,5125,,
2023-01-01,actual,5400,,
2023-02-01,actual,6800,,
2023-03-01,actual,7075,,
2023-04-01,actual,6253,,
2023-05-01,actual,6600,,
2023-06-01,actual,7040,,
2023-07-01,actual,7480,,
2023-08-01,actual,7920,,
2023-09-01,actual,8205,,
2023-10-01,actual,8490,,
2023-11-01,actual,8775,,
2023-12-01,actual,7783,,
2024-01-01,actual,8550,,
2024-02-01,actual,8667,,
2024-03-01,actual,9380,,
2024-04-01,actual,9311,,
2024-05-01,actual,10367,,
2024-06-01,actual,10600,,
2024-07-01,actual,9975,,
2024-08-01,actual,10717,,
2024-09-01,actual,10628,,
2024-10-01,actual,10539,,
2024-11-01,actual,10450,,
2024-12-01,actual,10308,,
2025-01-01,actual,10165,,
2025-02-01,actual,10153,,
2025-03-01,actual,9940,,
2025-04-01,actual,9014,,
2025-05-01,actual,8447,,
2025-06-01,actual,8306,,
2025-07-01,actual,7815,,
2025-08-01,actual,7935,,
2025-09-01,actual,9019,,
2025-10-01,actual,8920,,
2025-11-01,actual,8820,,
2025-12-01,actual,8865,,
2026-01-01,actual,8813,,
2026-02-01,actual,9017,,
2026-03-01,actual,9501,,
2026-04-01,actual,9793,,
2026-05-01,actual,9943,,
2026-06-01,actual,10282,,
2026-07-01,actual,10493,,
2026-08-01,actual,10273,,
2026-09-01,forecast,10531,9718.0,11343.0
2026-10-01,forecast,10590,9778.0,11403.0
2026-11-01,forecast,10099,9286.0,10911.0
2026-12-01,forecast,9858,9045.0,10670.0
