part,tier,current_price,pct_rank,momentum_30d,signal,n_obs
BBQ등갈비,1,12593,99,2.4,매도후보(고평가),577
차돌박이,1,20053,99,5.0,매도후보(고평가),581
차돌양지,1,13209,98,1.3,매도후보(고평가),581
황제늑간,1,20907,98,13.6,매도후보(고평가),570
갈비살/늑간살,1,26353,97,7.2,매도후보(고평가),581
LA갈비,1,23643,97,8.4,매도후보(고평가),576
앞/척갈비,1,14928,97,2.3,매도후보(고평가),581
스지,1,9332,96,0.9,매도후보(고평가),581
삼겹양지,1,10347,90,-0.6,매도후보(고평가),581
등갈비/백립,1,10352,88,3.5,매도후보(고평가),581
설도,1,14276,87,-0.0,매도후보(고평가),581
설깃,1,14032,84,-1.4,매도후보(고평가),576
알전각/볼라전각,1,13935,75,-0.2,매도후보(고평가),581
아롱사태,1,17879,58,3.2,중립,581
사골(뒷왕사골),2,3073,51,-10.1,중립,194
알목심,1,16592,49,-4.3,중립,578
홍창/소막창,2,6192,36,8.5,중립,247
부채살,2,19525,26,-3.8,매수후보(저평가),247
살치살,2,28550,11,-14.3,매수후보(저평가),135
백립(조각백립),2,6815,6,-2.1,매수후보(저평가),246
목뼈,1,3119,5,-2.4,매수후보(저평가),581
등갈비/백립(#2스펙),1,6598,4,-2.3,매수후보(저평가),581
