rank,part,current_price,pctile,pred_return_1m_pct
1,스지,9017,83.0,2.26
2,차돌박이,17531,94.0,2.07
3,삼겹양지,10308,94.0,1.92
4,황제늑간,18575,94.0,1.9
5,아롱사태,17046,33.0,1.46
6,LA갈비,21070,78.0,1.01
7,차돌양지,13021,94.0,0.96
8,설도,14252,89.0,0.94
9,BBQ등갈비,12074,94.0,0.93
10,등갈비/백립,10394,94.0,0.85
11,갈비살/늑간살,22852,94.0,0.71
12,부채살,19832,43.0,0.58
13,척리블렛,10740,83.0,0.51
14,홍창/소막창,6366,57.0,0.37
15,앞/척갈비,14673,94.0,0.17
16,알목심,17929,72.0,0.0
17,설깃,14016,89.0,-0.37
18,센터컷,11067,83.0,-0.7
19,목뼈,3278,6.0,-1.28
20,알전각/볼라전각,14219,83.0,-1.32
21,등갈비/백립(#2스펙),6945,0.0,-1.44
22,백립(조각백립),7216,0.0,-1.62
